id,fixtime,latitude,longitude,altitude,speed,course,accuracy
"581070",2020/09/28 19:49:34,54.91263,11.8693116,25,29.157678,284,0
"581072",2020/09/28 19:49:35,54.9126633,11.8690866,24,27.537807,284,0
"581073",2020/09/28 19:49:36,54.912695,11.8688733,24,26.457893,284,0
"581074",2020/09/28 19:49:37,54.9127233,11.8686766,24,25.377979,285,0
"581075",2020/09/28 19:49:38,54.9127533,11.8684883,24,23.218151,286,0
"581076",2020/09/28 19:49:39,54.9127766,11.8683299,24,19.978409,285,0
"581077",2020/09/28 19:49:40,54.9127966,11.8681883,24,17.818581,285,0
"581078",2020/09/28 19:49:41,54.912815,11.8680683,24,14.578839,284,0
"581079",2020/09/28 19:49:42,54.912815,11.8680683,24,14.578839,284,0
"581080",2020/09/28 19:49:43,54.9128299,11.8679,24,8.639312,275,0
"581081",2020/09/28 19:49:44,54.9128216,11.8678433,23,7.019441,253,0
"581082",2020/09/28 19:49:45,54.9127983,11.8678016,23,7.019441,230,0
"581083",2020/09/28 19:49:46,54.9127683,11.86777,23,7.559398,213,0
"581084",2020/09/28 19:49:47,54.9127316,11.8677466,23,8.639312,201,0
"581085",2020/09/28 19:49:48,54.9126883,11.8677299,23,9.179269,188,0
"581086",2020/09/28 19:49:49,54.9126416,11.8677183,23,10.259183,187,0
"581087",2020/09/28 19:49:50,54.9125933,11.8677083,23,10.79914,185,0
"581088",2020/09/28 19:49:51,54.9125416,11.8676983,23,11.879054,185,0
"581089",2020/09/28 19:49:52,54.9124866,11.8676866,23,12.419011,186,0
"581090",2020/09/28 19:49:53,54.9124283,11.867675,24,12.958968,186,0
"581091",2020/09/28 19:49:54,54.9123716,11.8676633,24,12.419011,186,0
"581092",2020/09/28 19:49:55,54.912315,11.86765,24,11.879054,186,0
"581093",2020/09/28 19:49:56,54.91226,11.8676383,24,12.419011,186,0
"581094",2020/09/28 19:49:57,54.9122033,11.8676266,24,12.419011,186,0
"581095",2020/09/28 19:49:58,54.912145,11.867615,24,12.958968,186,0
"581096",2020/09/28 19:49:59,54.9120849,11.8676033,25,12.958968,186,0
"581097",2020/09/28 19:50:00,54.9120233,11.8675916,25,13.498925,186,0
"581098",2020/09/28 19:50:01,54.9119583,11.8675799,25,14.038882,186,0
"581099",2020/09/28 19:50:02,54.9118933,11.86757,25,14.038882,186,0
"581100",2020/09/28 19:50:03,54.911825,11.8675533,26,14.578839,187,0
"581101",2020/09/28 19:50:04,54.911825,11.8675533,26,14.578839,187,0
"581102",2020/09/28 19:50:05,54.9116866,11.8675233,26,15.118796,187,0
"581103",2020/09/28 19:50:06,54.9116133,11.8675083,26,15.658753,187,0
"581104",2020/09/28 19:50:07,54.91154,11.8674916,26,16.19871,187,0
"581105",2020/09/28 19:50:08,54.9114649,11.867475,26,16.19871,187,0
"581106",2020/09/28 19:50:09,54.9114649,11.867475,26,16.19871,187,0
"581107",2020/09/28 19:50:10,54.9114649,11.867475,26,16.19871,187,0
"581108",2020/09/28 19:50:11,54.9113066,11.8674399,26,17.278624,187,0
"581109",2020/09/28 19:50:11,54.911225,11.86742,27,17.818581,187,0
"581110",2020/09/28 19:50:12,54.9111416,11.8673983,27,17.818581,187,0
"581111",2020/09/28 19:50:13,54.9110566,11.8673799,27,17.818581,186,0
"581112",2020/09/28 19:50:14,54.91097,11.8673666,27,18.358538,184,0
"581113",2020/09/28 19:50:15,54.9108833,11.8673616,28,18.358538,180,0
"581114",2020/09/28 19:50:16,54.9107933,11.8673683,27,18.898495,174,0
"581115",2020/09/28 19:50:17,54.9107016,11.8673916,27,19.978409,169,0
"581116",2020/09/28 19:50:18,54.910605,11.8674316,28,20.518366,166,0
"581117",2020/09/28 19:50:19,54.9105116,11.8674766,28,20.518366,161,0
"581118",2020/09/28 19:50:20,54.9104183,11.8675333,29,21.058323,160,0
"581119",2020/09/28 19:50:21,54.9103233,11.8675899,29,21.058323,160,0
"581120",2020/09/28 19:50:22,54.91023,11.8676483,29,21.058323,160,0
"581121",2020/09/28 19:50:23,54.910135,11.867705,30,21.058323,160,0
"581122",2020/09/28 19:50:24,54.91004,11.8677583,31,21.59828,163,0
"581123",2020/09/28 19:50:25,54.9099416,11.8678083,31,22.678194,165,0
"581124",2020/09/28 19:50:26,54.9098383,11.8678533,32,23.758108,168,0
"581125",2020/09/28 19:50:27,54.9097266,11.8678866,32,24.838022,170,0
"581126",2020/09/28 19:50:28,54.9096166,11.867925,32,24.838022,170,0
"581127",2020/09/28 19:50:29,54.9094983,11.8679566,32,25.917936,170,0
"581128",2020/09/28 19:50:30,54.9093766,11.86799,32,26.457893,170,0
"581129",2020/09/28 19:50:31,54.9092533,11.86802,32,26.99785,171,0
"581130",2020/09/28 19:50:32,54.909125,11.86805,32,27.537807,171,0
"581131",2020/09/28 19:50:33,54.908995,11.86808,32,28.077764,171,0
"581132",2020/09/28 19:50:34,54.9088633,11.8681116,32,28.617721,171,0
"581133",2020/09/28 19:50:35,54.9087316,11.8681583,31,28.617721,166,0
"581134",2020/09/28 19:50:36,54.9085966,11.8681983,31,29.157678,171,0
"581135",2020/09/28 19:50:37,54.90846,11.8682366,31,29.157678,170,0
"581136",2020/09/28 19:50:38,54.908325,11.8682783,31,29.157678,170,0
"581137",2020/09/28 19:50:39,54.90819,11.8683183,30,29.157678,171,0
"581138",2020/09/28 19:50:40,54.9080566,11.8683583,30,29.157678,170,0
"581139",2020/09/28 19:50:41,54.9079233,11.8683983,30,28.617721,170,0
"581140",2020/09/28 19:50:42,54.9077916,11.8684383,30,28.617721,171,0
"581141",2020/09/28 19:50:43,54.9076616,11.86847,30,28.077764,171,0
"581142",2020/09/28 19:50:44,54.9075333,11.8685033,29,26.99785,170,0
"581143",2020/09/28 19:50:45,54.9074083,11.8685383,29,26.457893,171,0
"581144",2020/09/28 19:50:46,54.90729,11.8685683,29,25.377979,171,0
"581145",2020/09/28 19:50:47,54.907175,11.8686,29,24.838022,170,0
"581146",2020/09/28 19:50:48,54.9070633,11.8686299,29,24.298065,171,0
"581147",2020/09/28 19:50:49,54.90695,11.8686616,28,24.298065,171,0
"581148",2020/09/28 19:50:50,54.9068366,11.8686933,28,24.838022,171,0
"581149",2020/09/28 19:50:51,54.9067216,11.8687266,28,25.377979,170,0
"581150",2020/09/28 19:50:52,54.9066033,11.8687583,27,25.917936,170,0
"581151",2020/09/28 19:50:53,54.906485,11.86879,27,25.917936,170,0
"581152",2020/09/28 19:50:54,54.9063633,11.8688233,27,26.457893,170,0
